,date,patient1,patient2,distance
0,0,1,30,0.020124786447772408
1,0,1,31,0.020124786447772408
2,0,1,32,0.08739103954513178
3,0,1,33,0.06520850180548644
4,0,1,34,0.07119351668821278
5,0,1,35,0.0902425764464105
6,0,1,43,0.039955770269441436
7,0,1,55,0.052142862270463504
8,0,1,79,0.0789863128758196
9,0,1,80,0.07485931794327726
10,0,1,101,0.07454520398619066
11,0,1,121,0.027270169801354462
12,0,1,127,0.05734030778187022
13,0,1,141,0.09154402081507182
14,0,1,145,0.07263517318859553
15,0,1,165,0.07309372570974072
16,0,1,166,0.08012699289746188
17,0,1,168,0.0934918094318435
18,0,1,169,0.0986734600456236
19,0,1,211,0.04574617924972167
20,0,1,212,0.02258034541853547
21,0,1,213,0.0202943106412475
22,0,1,214,0.020331170684290856
23,0,1,215,0.06515816513922877
24,0,1,225,0.09749148542037524
25,0,1,226,0.024455008302666087
26,0,1,232,0.07711059594539775
27,0,1,233,0.059593681277274164
28,0,1,234,0.059593681277274164
29,0,1,260,0.07889112293312864
30,0,1,261,0.05031518022010589
31,0,1,263,0.08257156443240474
32,0,1,273,0.08273760204850451
33,0,1,325,0.07555003935618368
34,0,1,326,0.06490123608576946
35,0,1,327,0.04537828836901442
36,0,1,331,0.09902903763762085
37,0,1,333,0.08222555817392836
38,0,1,334,0.028953822522121413
39,0,1,335,0.059830915904809136
40,0,1,336,0.05855898624487659
41,0,1,348,0.0823599795020917
42,0,1,349,0.0241980263588746
43,0,1,385,0.09780060395842612
44,0,1,386,0.08977727011428743
45,0,1,390,0.07469773676264359
46,0,1,391,0.04273204717757427
47,0,1,392,0.06590305764025609
48,0,2,87,0.011324478464325568
49,0,2,129,0.010069692050698168
50,0,2,351,0.01007808091828924
51,0,3,130,0.04032529531387981
52,0,3,227,0.04711962927939493
53,0,3,278,0.02487653475183533
54,0,3,279,0.03539659633378941
55,0,4,47,0.07624727390275256
56,0,4,66,0.07473066322328385
57,0,4,152,0.08670993139150691
58,0,4,153,0.07885863263534167
59,0,4,179,0.09977878474594
60,0,4,247,0.06911482258558435
61,0,4,280,0.061603663643530426
62,0,4,281,0.09043848897795193
63,0,4,374,0.07818387442168748
64,0,5,6,0.0355654138035757
65,0,5,16,0.09769492618756856
66,0,5,21,0.09185343642190706
67,0,5,25,0.0665338825884642
68,0,5,36,0.09690823353275924
69,0,5,48,0.05822877160185721
70,0,5,57,0.08586239092416806
71,0,5,59,0.08081120933761643
72,0,5,61,0.0459065133358532
73,0,5,90,0.028137666861674463
74,0,5,91,0.03790712416064078
75,0,5,105,0.08805496131372804
76,0,5,106,0.08656613632535445
77,0,5,107,0.08183030874394616
78,0,5,114,0.029925223889691772
79,0,5,134,0.05979532629966169
80,0,5,135,0.048314015467003896
81,0,5,147,0.07381752163965735
82,0,5,151,0.03391688144723916
83,0,5,156,0.007226767996753848
84,0,5,157,0.06092560919317175
85,0,5,159,0.0686494497366477
86,0,5,170,0.09790401276329534
87,0,5,183,0.043629291502913926
88,0,5,196,0.05136250061245389
89,0,5,203,0.06455890196533809
90,0,5,237,0.0690398182834954
91,0,5,239,0.0400275539561937
92,0,5,240,0.0400275539561937
93,0,5,241,0.04833893863522183
94,0,5,254,0.04685151336761253
95,0,5,255,0.052320319593982874
96,0,5,283,0.06955355430388306
97,0,5,298,0.06544143451118598
98,0,5,299,0.07694378638404405
