,centrality,S_0,E_0,I_A_0,I_P_0,I_M_0,I_S_0,H_0,R_0,D_0,S_1,E_1,I_A_1,I_P_1,I_M_1,I_S_1,H_1,R_1,D_1,S_5,E_5,I_A_5,I_P_5,I_M_5,I_S_5,H_5,R_5,D_5,S_10,E_10,I_A_10,I_P_10,I_M_10,I_S_10,H_10,R_10,D_10
0,1316,0.0,0.0,0.0,0.0,0.0,0.0,0.037840143530062334,0.7697278851759504,0.1924319712939876,0.0,0.0,0.0,0.0,0.0,0.0,0.03500213276530766,0.7719982937877541,0.19299957344693852,0.0,0.0,0.0,0.0,0.0,0.0,0.025624856306860073,0.7795001149545121,0.19487502873862803,0.0,0.0,0.0,0.0,0.0,0.0,0.017352821619864102,0.786117742704109,0.19652943567602724
1,1035,0.2438537562771385,0.02125402092991247,0.010124277042727977,0.001834639912805496,0.014020065437122647,0.0010712019499686102,0.006730896527525693,0.693889547743038,0.007221594179760417,0.23586505917496026,0.027958302378772292,0.009191284114649529,0.0007706493919910707,0.013667774007682766,0.001068705282734609,0.0064120399464758174,0.6977436280750602,0.007322557627673303,0.11834937439732125,0.12729850134105514,0.011165278471185744,0.001691051818372689,0.015810499707811614,0.00142407554320235,0.005262925501851121,0.7113172889734386,0.007681004245761337,0.21841494969947928,0.00147176887641141,0.01261668660965442,0.0006253302815147075,0.019215645396885108,0.0018127246496166059,0.004653212792881316,0.7331340164105976,0.008055665282959434
2,960,0.3110170207768904,0.10079377298002343,0.0178148558804676,0.004406969956345336,0.02343225117013237,0.0021212807788166766,0.005740915340264288,0.5292752412650858,0.005397691851973937,0.2879498387623318,0.11776982051233598,0.017705566768047187,0.0036546806893476115,0.024050055438631257,0.002193723431248635,0.005678601032947042,0.5355139077830324,0.005483805582077901,0.31695608104151074,0.06535211572614842,0.017041229160559564,0.003681867971625667,0.022975123313840058,0.0020787594727667367,0.005511186789762349,0.5605829614969365,0.005820675026849761,0.0566122249690303,0.3074752490448881,0.01329626288277529,0.002184729049340832,0.01864858096761159,0.0016312638338523064,0.0051764678757566795,0.5887495119878202,0.006225709388924368
3,1113,0.38720887824876987,0.00038021943119030487,0.011912706512794578,0.0021128334758853187,0.016544864851214435,0.001297988056751791,0.007234158031098536,0.5677081064515421,0.005600244940752705,0.31377565503820704,0.07379046535238626,0.01021957166786299,1.3786373620137671e-05,0.01608215379227268,0.0012839406776882119,0.006916926905418257,0.572208742881325,0.0057087573112191824,0.2761452137307906,0.08912671317049099,0.012796031606854478,0.003753914313266764,0.01621295039938567,0.001410199720954887,0.005813194817681773,0.5886448025573825,0.006096979683191952,0.29374011893320257,0.05712124434044313,0.009942273990733356,0.0019212793956426592,0.013642420290994791,0.001162867788511617,0.00505085505579677,0.6109104467207329,0.006508493483941721
4,1177,0.27162964501564396,0.06346245838703818,0.016936775550840534,0.0032594114066179514,0.02325420222573628,0.0020589519423217257,0.006297063019488722,0.6068589889136389,0.006242503538673366,0.2512449658455056,0.08001199618702459,0.0160505668726862,0.0023010848220911683,0.02286464699363472,0.0020274590257964692,0.006182217350214119,0.612980103419081,0.006336959483965697,0.26191652346819755,0.05608528762973214,0.012817317274829884,0.0016455581729546834,0.018460361644336867,0.00159173782226408,0.00567710435977337,0.6351088109609527,0.006697298666958261,0.2970754839990965,0.00873906780154934,0.009559037674414066,0.0013869961483155102,0.013599818372389489,0.0011419037783028546,0.0048707910890029875,0.6565269546549641,0.007099946481964771
5,1077,0.0,0.0,0.0,0.0,0.26211656639062253,0.021753165704475382,0.05606437946557132,0.6556293974733401,0.004436490965990659,0.0,0.0,0.0,0.0,0.22466010905340256,0.017976816138178458,0.0556359005719504,0.6964497175784944,0.005277456657974229,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77139,0.08263999999999998,0.017359999999999997,0.12861,0.0
6,1094,0.0,0.0,0.0,0.0,0.19255617946967132,0.014856040856590678,0.054583983310641904,0.7318918011965426,0.006111995166553485,0.0,0.0,0.0,0.0,0.1650399014234553,0.012277032163886537,0.05306919325504791,0.7626831182413971,0.006930754916213113,0.0,0.0,0.0,0.0,0.08906661270746263,0.0057260432982377055,0.044594706710578004,0.8506767872854848,0.00993584999823686,0.0,0.0,0.0,0.0,0.041197646946618066,0.0022070194993269146,0.03314026973266653,0.9105245216677871,0.012930542153601315
7,1124,0.4410192793512613,0.016630827556597626,0.009672399047084328,0.0012497808037460491,0.013922454777963365,0.0011684972286015573,0.005459388159057344,0.5057197470521895,0.005157626023498995,0.42740602090823965,0.02923905757173855,0.008692224594408264,0.0006030170567284318,0.013057738713563844,0.0010906241900909318,0.005252785166013274,0.5094190149533322,0.005239516845884855,0.39036855600971854,0.05245471971245474,0.009232029177052526,0.0016277948679879958,0.012831902937617216,0.0011348275057902156,0.004452847901488461,0.5223612921753719,0.005536029712518429,0.3653364337592672,0.06834027723525474,0.007217183133369659,0.002298879300306838,0.00895368785412774,0.0007482407944552568,0.0037516317914998206,0.53750373876685,0.005849927364868588
8,1164,0.0,0.0,0.0,0.0,0.013998866670582503,0.0005809494298386576,0.020430722814070167,0.9491917955342902,0.01579766555121824,0.0,0.0,0.0,0.0,0.011998428623356263,0.00048009660881866666,0.018999271424034896,0.9524180769503606,0.016104126393429292,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4857004321097113,0.04664028913340416,0.046778905554675836,0.4195642121398247,0.001316161062384
9,1164,0.0,0.0,0.0,0.0,0.9,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77139,0.08263999999999998,0.017359999999999997,0.12861,0.0,0.0,0.0,0.0,0.0,0.41629384036123357,0.0385435349398452,0.05136724183163411,0.491777538221583,0.0020178446457041373,0.0,0.0,0.0,0.0,0.19255617946967132,0.014856040856590678,0.054583983310641904,0.7318918011965426,0.006111995166553485
10,1234,0.0,0.0,0.0,0.0,0.14145569951004353,0.010145739380235833,0.05122029654457002,0.7894514717501118,0.007726792815038831,0.0,0.0,0.0,0.0,0.1212416800500583,0.008384439023826892,0.04914007466013621,0.8127387090027712,0.008495097263207381,0.0,0.0,0.0,0.0,0.06543015154446741,0.003910526602926832,0.03989730954080613,0.8795235795405462,0.011238432771253411,0.0,0.0,0.0,0.0,0.03026463229095981,0.0015072551875310453,0.029026672207927436,0.9253082257926732,0.013893214520908309
11,1149,0.22622614176376687,0.22169835073465477,0.019564672230004694,0.005292713513383758,0.02525827248682879,0.002359249804655082,0.005742488643321731,0.48895940669322807,0.004898704130155903,0.3317082556218102,0.10281863870271862,0.022127919837894146,0.008038558904335682,0.026412307510506338,0.0024789553899053356,0.0057213677611607245,0.4957091548118629,0.0049848414598057285,0.3399246239193839,0.07032806747939416,0.019913875294265453,0.004642254009663095,0.026491311443894036,0.002435646076295196,0.005831185865541938,0.5251022796769079,0.005330756234653975,0.31910642154846025,0.07557261305040155,0.013480062460384426,0.0005360380244744086,0.02066929191400304,0.0018026694665900925,0.005638156940809057,0.5574297810520324,0.005764965542844339
